,Credit Amount,gender,Education level,Marital Status,Age,Y,totall bill statement,total amount paid,avg repayment
1,20000,2,2,1,24,1,7704,689,-0.0
2,120000,2,2,2,26,1,17077,5000,0.0
3,90000,2,2,2,34,0,101653,11018,0.0
4,50000,2,2,1,37,0,231334,8388,0.0
5,50000,1,2,1,57,0,109339,59049,-0.0
6,50000,1,1,2,37,0,238114,7772,0.0
7,500000,1,1,2,29,0,2724595,180759,0.0
8,100000,2,2,2,23,0,13486,4791,-0.0
9,140000,2,3,1,28,0,65212,6761,0.0
10,20000,1,3,2,35,0,26919,14129,-2.0
11,200000,2,3,2,34,0,34467,6472,0.0
12,260000,2,1,2,51,0,88369,66308,-0.0
13,630000,2,2,2,41,0,41007,23370,-1.0
14,70000,1,2,2,30,1,338685,10700,1.0
15,250000,1,1,2,29,0,373591,18000,0.0
16,50000,2,3,3,23,0,196416,6200,0.0
17,20000,1,1,2,24,1,106161,6350,1.0
18,320000,1,1,1,49,0,966014,361897,-0.0
19,360000,2,1,1,49,0,0,0,-2.0
20,180000,2,1,2,29,0,0,0,-2.0
21,130000,2,3,2,39,0,123883,42231,-0.0
22,120000,2,2,1,39,1,1896,1580,-1.0
23,70000,2,2,2,26,1,265475,11010,1.0
24,450000,2,1,1,40,1,26965,22589,-2.0
25,90000,1,1,2,23,0,31864,16400,-0.0
26,50000,1,3,2,23,0,214295,7891,0.0
27,60000,1,1,2,27,1,-394,2500,-1.0
28,50000,2,3,2,30,0,112268,7112,0.0
29,50000,2,3,1,47,0,40208,39567,-1.0
30,50000,1,1,2,26,0,97082,6600,0.0
31,230000,2,1,2,27,0,113746,97489,-1.0
32,50000,1,2,2,33,1,151869,6934,0.0
33,100000,1,1,2,32,0,495237,18744,0.0
34,500000,2,2,1,54,0,125744,158502,-2.0
35,500000,1,1,1,58,0,58318,45425,-2.0
36,160000,1,1,2,30,0,25312,2280,-2.0
37,280000,1,2,1,40,0,1069977,41923,0.0
38,60000,2,2,2,22,0,32279,53349,-0.0
39,50000,1,1,2,25,1,780,780,-1.0
40,280000,1,1,2,31,0,51643,37357,-0.0
41,360000,1,1,2,33,0,1650751,243840,0.0
42,70000,2,1,2,25,0,392856,19342,0.0
43,10000,1,2,2,22,0,22761,7227,0.0
44,140000,2,2,1,37,0,385134,20000,0.0
45,40000,2,1,2,30,0,147185,13000,0.0
46,210000,1,1,2,29,1,0,0,-2.0
47,20000,2,1,2,22,1,79328,20075,0.0
48,150000,2,5,2,46,1,9837,2183,-0.0
49,380000,1,2,2,32,0,114815,93332,-1.0
50,20000,1,1,2,24,0,115810,6246,0.0
51,70000,1,3,2,42,1,229012,8100,2.0
52,100000,2,3,3,43,0,265185,9606,0.0
53,310000,2,2,1,49,0,44125,30668,-2.0
54,180000,2,1,2,25,0,259151,10246,0.0
55,150000,2,1,2,29,0,176751,12867,0.0
56,500000,2,1,1,45,0,8388,6483,-2.0
57,180000,2,3,1,34,0,55404,29179,-0.0
58,180000,2,2,1,34,0,952362,34062,0.0
59,200000,2,1,2,34,0,6747,1900,2.0
60,400000,2,2,1,29,0,2284140,109029,0.0
61,500000,2,3,1,28,1,109699,8816,0.0
62,70000,1,2,1,39,0,244242,12120,-0.0
63,50000,1,1,2,29,1,157674,6125,2.0
64,50000,2,2,1,46,1,57884,1000,-1.0
65,130000,2,2,1,51,0,2452,2353,-1.0
66,200000,1,1,1,57,1,469636,9522,-0.0
67,10000,1,2,1,56,1,22852,3010,1.0
68,210000,2,1,2,30,0,8589,9198,-0.0
69,130000,2,3,2,29,0,7901,41379,-0.0
70,20000,1,5,2,22,0,88326,3700,0.0
71,80000,1,1,2,31,0,2340,1950,-1.0
72,320000,1,2,2,29,1,362152,13800,2.0
73,200000,2,2,1,32,0,26425,19512,-0.0
74,290000,2,1,2,37,0,5514,5514,-1.0
75,340000,1,1,2,32,0,142199,141997,-1.0
76,20000,1,2,2,24,0,101328,5590,0.0
77,50000,1,3,2,25,0,145406,6358,-0.0
78,300000,2,1,1,45,0,1746,1746,-1.0
79,30000,2,2,2,22,1,149186,8411,0.0
